1. Dejan Mijač, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
1207. Ljiljana Živanović, redovni profesor u penziji, Farmaceutski fakultet, Univerzitet u Beogradu
1208. Dragana Popović, redovna profesorka u penziji, Fakultet veterinarske medicine, Univerzitet u Beogradu
1209. Ljubiša Đorđević, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
1210. Jasna Vujin, istraživač pripravnik, Institut za fiziku, Univerzitet u Beogradu
1211. Filip Veljković, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1212. Dunja Drakulić,  naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1213. Mirjana Ilić, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
1214. Gordana Marković, redovna profesorka u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1215. Milivoj Radojčin, docent, Poljoprivredni fakultet, Univerzitet u Novom Sadu
1216. Miroslav Marković, redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1217. Jelena Ilić, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
1218.  Natasa Vujisić Živković, redovni profesor, Filozofski fakultet,  Univerzitet u Beogradu
1219. Stevan Đorđević, redovni profesor u penziji, Mašinski fakultet, Univerzitet u Beogradu
1220. Slava Ćorić, redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1221. Mirjana Veselinović Hofman, redovni profesor u penziji, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1222. Branka Parlić, nastavnik veština, Akademija umetnosti, Univerzitet u Novom Sadu
1223. Igor Čeliković, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1224. Mirjana Novković, istraživač saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
1225. Zoran Lutovac, viši naučni saradnik, Institut društvenih nauka u Beogradu
1226. Marica Rakin, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1227. Goran Terzić, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
1228. Darko Marinković, vanredni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
1229. Ljubomir Popović, vanredni profesor u penziji, Filološki fakultet, Univerzitet u Beogradu
1230. Aleksandar Lučić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Novom Sadu
1231. Nina Sudimac, asistent, Filozofski fakultet, Univerzitet u Nišu
1232. Marija Nikolic, vanredni profesor, Tehnolosko-metalurski fakultet, Univerzitet u Beogradu
1233. Mia Radonjić, istraživač pripravnik, Tehnološko-metalurški fakultet Univerziteta u Beogradu
1234. Svetlana Paunović, naučni savetnik, Institut za voćarstvo, Čačak
1235. Ana Vudragović, naučni saradnik, Astronomska opservatorija, Beograd
1236. Nevenka Bošković Vragolović, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1237. Svetlana Štrbac, naučni savetnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
1238. Zorka Lučić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Novom Sadu
1239. Marina Nikolić, docent, Filozofski fakultet, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
1240. Milena Jovanovic, istraživač saradnik, Astronomska opservatorija, Beograd
1241. Mirjana Drakulic, redovni profesor u penziji, Fakultet organizacionih nauka, Univerzitet u Beogradu
1242. Petar Gogić, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
1243. Miloš Lučić, redovni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
1244. Branimir Stanić, redovni profesor u penziji, Saobraćajni fakultet, Univerzitet u Beogradu
1245. Ivan Đorđević, naučni saradnik, Etnografski institut SANU
1246. Milica Lazarević, istraživač pripravnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1247. Vesna Stankov Jovanović, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
1248. Bojko Bjelaković, vanredni profesor, Medicinski fakultet, Univerzitet u Nišu
1249. Jasna Đonlagic, redovni profesor u penziji, Tehnolosko-metalurski fakultet, Univerzitet u Beogradu
1250. Nikola Grujić, profesor emeritus, Medicinski fakultet, Univerzitet u Novom Sadu
1251. Ivana Milošević, naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
1252. Aleksandar Tomović, naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
1253. Mladena Prelić, viši naučni saradnik, Etnografski institut SANU
1254. Ratimir Drakulić, asistent u penziji, Fakultet organizacionih nauka, Univerzitet u Beogradu
1255. Sanja Rapajić, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1256. Đorđe Jevtović, redovni profesor u penziji,  Medicinski fakultet, Univerzitet u Beogradu
1257. Biljana Božin, vanredni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
1258. Gordana Stefanović, redovni profesor u penziji, Stomatološki fakultet, Univerzitet u Beogradu
1259. Olgica Đurković-Đaković, naučni savetnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
1260. Đurđina Ružić, naučni savetnik u penziji, Institut za voćarstvo, Čačak
1261.  Goran Ružić, docent, Filozofski fakultet, Univerzitet u Nišu
1262. Marija Mirosavljev, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Novom Sadu
1263. Dina Radoman, docent, Nova akademija umetnosti
1264. Koviljka Krtolica- Žikić, naučni savetnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1265. Ivana Vesić, naučni saradnik, Muzikološki institut SANU, Beograd
1266. Jelena Stankov, redovni profesor u penziji,  Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1267. Slobodan Krstić, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
1268. Ana K. Jovanović, vanredna profesorka, Filološki fakultet, Univerzitet u Beogradu
1269. Željko Nikač, redovni profesor, Kriminalističko-policijski univerzitet, Beograd
1270. Katarina Suvajdžić,  asistentkinja, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
1271. Aleksandar Kandić, viši naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1272. Milica Stojadinović, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
1273. Snežana Pejčić Tarle, vanredni profesor u penziji, Saobraćajni fakultet,  Univerzitet u Beogradu
1274. Dejan Živković, redovni profesor u penziji, Elektrotehnički fakultet, Univerzitet u Beogradu
1275. Milan Merkle, redovni profesor, Elektrotehnički fakultet, Univerzitet u Beogradu
1276. Ljubiša Dabić, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Beogradu
1277. Aleksandar Milić, asistent,  Elektrotehnički fakultet, Univerzitet u Beogradu
1278. Natalija Krstić, naučni savetnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
1279. Milica Živković, asistent, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1280. Igor Bačkalov, vanredni profesor, Mašinski fakultet, Univerzitet u Beogradu
1281. Danko Leovac, docent,  Filozofski fakultet, Univerzitet u Beogradu
1282. Mirjana Živković, redovni profesor u penziji, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1283. Marija Babović, redovna profesorka, Filozofski fakultet, Univerzitet u Beogradu
1284. Dijana Mihajlović, predavač, Visoka tekstilna strukovna škola za dizajn, tehnologiju i menadžment, Beograd
1285. Snežana Rakić, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1286. Dušan Najdanović, redovni profesor u penziji, Građevinski fakultet, Univerzitet u Beogradu
1287. Sanja Vukosavljević Milenić, redovni profesor, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
1288. Srđan Sretenović, vanredni profesor, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1289. Rajko Maksimović, redovni profesor u penziji, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1290. Slavica Rajšić, naučni savetnik u penziji, Institut za fiziku, Univerzitet u Beogradu
1291. Srđan Bošnjak, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
1292. Neda Hofman-Sretenović, viši umetnički saradnik, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1293. Vera Zdravković, docent, Medicinski fakultet, Univerzitet u Beogradu
1294. Vesna Nikolić-Ristanović, redovni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
1295. Miloš Kocić, asistent, Mašinski fakultet, Univerzitet u Nišu
1296. Dejan B. Ilić, vanredni profesor, Mašinski fakultet, Univerzitet u Beogradu
1297. Dragana Vuković, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1298. Marko Rakin, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1299. Zoran Radmilović, redovni profesor u penziji, Saobraćajni fakultet, Univerzitet u Beogradu
1300. Aleksandra Fejsa Levakov, docent, Medicinski fakultet, Univerzitet u Novom Sadu
1301. Jelena Jovanović, docent, Računarski fakultet, Univerzitet Union
0.    Jelena Jovanović, naučni saradnik, Matematički institut SANU
1302. Ognjen Pantelić, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
1303. Mara Aleksić, redovni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
1304. Suzana Stanisavljević, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1305. Saša Živić, redovni profesor, Medicinski fakultet, Univerzitet u Nišu
1306. Ljubomir Milanović, vanredni profesor, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1307. Stefan Tošić, asistent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1308. Ranko Dragović, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
1309. Nikola Tatar, nastavnik stranog jezika, Filozofski fakultet, Univerzitet u Nišu
1310. Dragan Čakmak, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1311. Milan Milovanović, naučni savetnik u penziji, Institut za automobile “Zastava”, Kragujevac
1312. Ivana Maksimović, redovni profesor, Poljoprivredni fakultet, Univerzitet u Novom Sadu
1313. Vera Mijač, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
1314. Ljiljana Stevković, asistent, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
1315. Milan Đurić, vanredni profesor, Arhitektonski fakultet, Univerzitet u Beogradu
1316. Smilja Marković, naučni savetnik, Institut tehničkih nauka SANU
1317. Goran Čpajak, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
1318. Stefan Đorić, asistent, Filozofski fakultet, Univerzitet u Nišu
1319. Darinka Golubovic Matić, docent, Fakultet za graditeljski menadžment, Univerzitet Union - Nikola Tesla
1320. Milivoje Milovanović, naučni savetnik, Centar za strna žita, Kragujevac
1321. Marija Mandić, viša naučna saradnica, Balkanološki institut SANU
1322. Majda Medić, predavač, Visoka škola strukovnih studija za informacione i komunikacione tehnologije, Beograd
1323. Maja Bosnar, vanredni profesor, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
1324. Marijana Pajvančić, redovna profesorka u penziji, Pravni fakultet, Univerzitet u Novom Sadu
1325. Goran Petrović, vanredni profesor, Mašinski fakultet, Univerzitet u Nišu
1326. Sofija Jovanović Stojanov, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1327. Obrad Todorović, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Nišu
1328. Slađana Dragišić Labaš, redovni profesor, Filozofski fakultet, Univerzitet u Beogradu 
1329. Jasminka Đorđević Miloradović, profesor,Visoka tehnička škola strukovnih studija Požarevac
1330. Dejan Dželabdžić, docent, Filozofski fakultet, Univerzitet u Beogradu
1331. Dušan Petrović, redovni profesor, Fakultet likovnih umetnosti; Univerzitet umetnosti u Beogradu
1332. Bojan Ljujić, docent, Filozofski fakultet, Univerzitet u Beogradu
1333. Radmila Pivić, naučni savetnik, Institut za zemljište, Beograd
1334. Aleksandra Buha Đorđević, docent, Farmaceutski fakultet, Univerzitet u Beogradu
1335. Emilija Golubović, redovni profesor, Medicinski fakultet, Univerzitet u Nišu
1336. Slobodan Petković, redovni profesor u penziji, Šumarski fakultet, Univerzitet u Beogradu
1337. Sonja Skuban, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1338. Petar Teofilović, vanredni profesor, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
1339. Milan N. Sovilj, redovni profesor u penziji, Tehnološki fakultet, Univerzitet u Novom Sadu
1340. Dragana Tegeltija, docent, Medicinski fakultet, Univerzitet u Novom Sadu
1341. Fedor Skuban, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1342. Vladimir Živković, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
1343. Tatjana Vujović, viši naučni saradnik, Institut za voćarstvo, Čačak
1344. Simeun Jelić, pukovnik predavač u penziji, Vojnotehnički institut, Beograd
1345. Nada Ćosić, naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1346. Miljan Grbović, docent, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Beogradu
1347. Tatjana Grujić, viši lektor, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
1348. Miljan Jakšić, vanredni profesor u penziji, Fakultet tehničkih nauka, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
1349. Dragica Gajić, istraživač pripravnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1350. Aleksandar Lolić, docent, Hemijski fakultet, Univerzitet u Beogradu
1351. Stefan Đoković, docent , Fakultet veterinarske medicine, Univerzitet u Beogradu
1352. Darko Davitkov, asistent, Fakultet veterinarske medicine, Univerzitet u Beogradu
1353. Radoš Ljušić, redovni profesor, Filozofski fakultet, Univerzitet u Beogradu
1354. Ivan Topalović, istraživač saradnik, Institut tehničkih nauka SANU
1355. Marijana Ćurčić, docent, Farmaceutski fakultet, Univerzitet u Beogradu
1356. Jovana Ajduković, docent, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1357. Mirjana Petrović, naučni saradnik, Institut za krmno bilje, Kruševac
1358. Sanja Manitašević Jovanović, naučna saradnica, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1359. Darko Mihaljica, istraživač saradnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
1360. Radoslava Pravilović, asistent, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1361. Bojan Marinković, naučni saradnik, Matematički institut SANU
1362. Nemanja Vujčić, naučni saradnik, Filozofski fakultet, Univerzitet u Beogradu
1363. Ivana Marcikić, redovni profesor u penziji, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
1364. Aneta Sabovljević, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
1365. Silvano Bolčić,  redovni profesor u penziji, Filozofski fakultet, Univerzitet u Beogradu
1366. Danijel Marković, asistent, Mašinski fakultet, Univerzitet u Nišu
1367. Jelena Božilović, istraživač saradnik, Istraživačko razvojni centar “Alfatec”, Univerzitet u Nišu
1368. Slobodan Jovanović, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
1369. Slobodan Roksandić, redovni profesor u penziji, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
1370. Marija Sarić,  istraživač pripravnik, Farmaceutski fakultet, Univerzitet u Beogradu
1371. Borko Mihajlović, asistent, Pravni fakultet, Univerzitet u Kragujevcu
1372. Biljana Šmit, viši naučni saradnik, Prirodno-matematički fakultet, Univerzitet u Kragujevcu
1373. Miroslava Kostić, viši naučni saradnik, Filozofski fakultet, Univerzitet u Beogradu
1374. Marko Milivojević, istraživač saradnik, Fizički fakultet, Univerzitet u Beogradu
1375. Srećko Prnjat, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
1376. Slobodan Janković, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
1377. Aleksa Obradović, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
1378. Svetlana Stojić, docent, Filozofski fakultet, Univerzitet u Beogradu
1379. Mila Ljujić, viši naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
1380. Maša Davidović, saradnik u nastavi, Medicinski fakultet, Univerzitet u Beogradu
1381. Branimir Pavlić, docent, Tehnološki fakultet, Univerzitet u Novom Sadu
1382. Miško M. Milanović, redovni profesor, Geografski fakultet, Univerzitet u Beogradu
1383. Ljiljana Teofanov, vanredni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1384. Slobodan Knežević, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
1385. Branka Janković Knežević, redovni profesor u penziji,  Akademija umetnosti, Univerzitet umetnosti u Novom Sadu
1386. Nenad Vušović, redovni profesor, Tehnički fakultet u Boru, Univerzitet u Beogradu
1387. Nataša Đurišić-Mladenović, docent, Tehnološki fakultet, Univerzitet u Novom Sadu
1388. Akademik Zoran Radović, redovni profesor u penziji, Fizički fakultet, Univerzitet u Beogradu
1389. Radmila Jančić Heinemann, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1390. Goran Marković, vanredni profesor, Agronomski fakultet, Univerzitet u Kragujevcu
1391. Duško Brković, docent, Agronomski fakultet, Univerzitet u Kragujevcu
10. Srećko Stopić, profesor, Faculty of Georesources and Materials Engineering, RWTH Aachen University
1392. Tamara Šekularac, saradnik u nastavi, Elektrotehnički fakultet, Univerzitet u Beogradu
1393. Aleksandra Patenković, naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1394. Katarina Nikolić, vanredni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
1395. Nina Žigon, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1396. Adela D. Egelja, istraživač saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1397. Gordana Nikolić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
1398. Danica Mladenović, viši stručni saradnik, Institut za ratarstvo i povrtarstvo, Novi Sad
1399. Monika Milosavljević, docent, Filozofski fakultet, Univerzitet u Beogradu
1400. Žarko Lazić, vanredni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
1401. Dragana Ilić, vanredni profesor, Matematički fakultet, Univerzitet u Beogradu
1402. Slaviša Stanković, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
1403. Nebojša Atanacković, istraživač saradnik, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1404. Jasna Plavšić, vanredni profesor, Građevinski fakultet, Univerzitet u Beogradu
1405. Zagorka Lozanov Crvenković, redovni profesor, Prirodno-matematički fakultet, Univerziteta u Novom Sadu
1406. Dejan Karavesović, docent,  Filološko-umetnički fakultet, Univerzitet u Kragujevcu
1407. Marina Arsenović Pavlović, docentkinja u penziji, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
1408. Maja Kuzmanović, naučni saradnik, Institut tehničkih nauka SANU
1409. Vladan Jovanović, nastavnik veština, Fakultet za medije i komunikacije, Univerzitet Singidunum
1410. Vesna Matović, redovni profesor u penziji, Farmaceutski fakultet, Univerzitet u Beogradu
1411. Snežana Nenadović, viši naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1412. Miloš Nenadović, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1413. Ljiljana Kljajević, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1414. Nemanja Teslić, istraživač-saradnik, Naučni institut za prehrambene tehnologije, Univerzitet u Novom Sadu
1415. Milana Piletić, docent u penziji, Filološki fakultet, Univerzitet u Beogradu
1416. Vladimir Korać, asistent, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1417. Dragan M. Todorović, naučni savetnik u penziji, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
1418. Dragan Stanojević, docent, Poljoprivredni fakultet, Univerzitet u Beogradu
1419. Miroslav Kosanić, redovni profesor u penziji, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1420. Dragoljub D. Dimitrijević, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
1421. Nikola Cvjetićanin, redovni profesor, Fakultet za fizičku hemiju, Univerzitet u Beogradu
1422. Biljana Buzadžić, naučna savetnica u penziji, Institut za biološka istraživanja, Univerzitet u Beogradu
1423. Vladan Ljubinković, redovni profesor u penziji, Arhitektonski fakultet Univerziteta u Beogradu
1424. Dejan Vasović, docent, Arhitektonski fakultet, Univerzitet u Beogradu
1425. Jelena Gulicovski, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1426. Marko Kostić, docent, Poljoprivredni fakultet, Univerzitet u Novom Sadu
1427. Mirjana Zlatković-Švenda, naučni saradnik, Medicinski fakultet, Univerzitet u Beogradu
1428. Predrag Manojlović, redovni profesor, Geografski fakultet, Univerzitet u Beogradu
1429. Dragana Maćešić-Petrović, redovni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
1430. Nataša Todorović, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1431. Kristijan Eker, docent, Filozofski fakultet, Univerzitet u Novom Sadu
1432. Zoran Rajković, istraživač saradnik u penziji, Institut ekonomskih nauka Beograd
1433. Milorad Stojić, naučni savetnik u penziji, Arheološki institut Beograd
1434. Branislava R. Miljković, redovni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
1435. Đuro Ercegović, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
1436. Aleksandra Ćiprijanović, naučni saradnik, Matematički fakultet, Univerzitet u Beogradu
1437. Nikola Popović, saradnik u nastavi, Elektrotehnički fakultet, Univerzitet u Beogradu
1438. Dejan Movrin, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1439. Dušica Palačković, redovni profesor, Pravni fakultet, Univerzitet u Kragujevcu
1440. Sonja Radaković, stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
1441. Zorica Kuzmanović, docent, Filozofski fakultet, Univerzitet u Beogradu
1442. Branko Gorgiev, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
1443. Dejan Radojčić, redovni profesor u penziji, Mašinski fakultet, Univerzitet u Beogradu
1444. Peđa Mihailović, vanredni profesor, Elektrotehnički fakultet, Univerzitet u Beogradu
1445. Anja Ranđelović, docent, Građevinski fakultet, Univerzitet u Beogradu
1446. Ivan Klajn, redovni profesor u penziji, Filološki fakultet, Univerzitet u Beogradu
0.    Ivan Klajn, redovni član SANU
1447. Marko Radovanović, docent, Matematički fakultet, Univerzitet u Beogradu
1448. Snežana Cekić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Nišu
1449. Ivan Stojanović, asistent, Akademija poslovnih strukovnih studija, Beograd
1450. Vuk Radmilović, naučni saradnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1451. Gordana Vekarić, nastavnik jezika, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Beogradu
1452. Jovan P. Šetrajčić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1453. Radmila Garić-Grulović, naučni savetnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
1454. Aleksandar Vencl, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
1455. Aleksandar Urošević, viši naučni saradnik, Institut za biološka istraživanja „Siniša Stanković“, Univerzitet u Beogradu
1456. Dušica Todorović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
1457. Mihajlo Zurković, vanredni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
1458. Milena Kataranovski, redovni profesor u penziji, Biološki fakultet, Univerzitet u Beogradu
1459. Borjanka Trajković, redovni profesor u penziji, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
1460. Ilija Radović, naučni savetnik u penziji, Institut za naučna istraživanja PKB Agroekonomik, Beograd
1461. Marina Hughson, naučna savetnica, Institut za kriminološka i sociološka istraživanja, Beograd
1462. Velimir Velja Vukićević, redovni profesor u penziji, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
1463. Dušan Kićević, istraživač saradnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1464. Dragana Pešić, docent, Stomatološki fakultet u Pančevu, Univerzitet Privredna akademija u Novom Sadu
1465. Tatjana Ivković-Lazar, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Novom Sadu
1466. Dušan Lazar, vanredni profesor u penziji, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1467. Marija Bogdanović, nastavnik veština, Učiteljski fakultet, Univerzitet u Beogradu
1468. Svetislav Mijatović, istraživač saradnik, Fizički fakultet, Univerzitet u Beogradu
1469. Vesna Popović, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1470. Karla Ilić Đurđić, asistent, Hemijski fakultet, Univerzitet u Beogradu
1471. Vladimir Trajković, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1472. Miodrag Spasojević, redovni profesor, Građevinski fakultet Subotica, Univerzitet u Novom Sadu
1473. Nikola Mladenović, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
1474. Jelena Svorcan, docent, Mašinski fakultet, Univerzitet u Beogradu
1475. Aleksandar Ostojić, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Kragujevcu
1476. Miroslav Cvetinov, docent, Akademija umetnosti, Univerzitet u Novom Sadu
1477. Lazar Džamić, predavač, Fakultet za medije i komunikacije, Univerzitet Singidunum, Beograd
1478. Ivan Jovanović, docent, Filozofski fakultet, Univerzitet u Nišu
1479. Ivanka Baralić Obradović, vanredni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
1480. Miroljub Obradović, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
1481. Vera Gligorijević, docent, Geografski fakultet, Univerzitet u Beogradu
1482. Jelena Jaranović, asistent, Učiteljski fakultet, Univerzitet u Beogradu
1483. Nataša Mitrović, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1484. Branislav Popkonstantinović, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
1485. Ljubica Rajković, redovna profesorka, Geografski fakultet, Univerzitet u Beogradu
1486. Nikola Radaković, redovni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1487. Nenad Tamaš, vanredni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
1488. Miljana Tanić, naučni saradnik, Institut za onkologiju i radiologiju Srbije
1489. Kosta Krsmanović, redovni profesor u penziji, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
1490. Slobodan Runić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
1491. Aleksandar Jovanović, docent, Fakultet inženjerskih nauka, Univerzitet u Kragujevcu
1492. Mina Glogovac, vanredni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
1493. Nebojša L. Radovanović, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
1494. Ivana Đurđev, istraživač-saradnik, Matematički institut SANU
